0:0:0:0:0:0:0:1 - - [07/Apr/2023:14:42:28 +0900] "GET /JSPStudy/ch06/sessionInfo_all.jsp HTTP/1.1" 500 2572
0:0:0:0:0:0:0:1 - - [07/Apr/2023:14:43:10 +0900] "GET /JSPStudy/ch06/sessionInfo_all.jsp HTTP/1.1" 500 2572
0:0:0:0:0:0:0:1 - - [07/Apr/2023:14:44:39 +0900] "GET /JSPStudy/ch06/sessionInfo_all.jsp HTTP/1.1" 500 2366
0:0:0:0:0:0:0:1 - - [07/Apr/2023:14:46:44 +0900] "GET /JSPStudy/ch06/sessionInfo_all.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [07/Apr/2023:14:47:24 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2840
0:0:0:0:0:0:0:1 - - [07/Apr/2023:14:47:24 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2840
0:0:0:0:0:0:0:1 - - [07/Apr/2023:14:47:24 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 2840
0:0:0:0:0:0:0:1 - - [07/Apr/2023:14:47:25 +0900] "GET /JSPStudy/ch06/sessionInfo_all.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [07/Apr/2023:14:47:52 +0900] "GET /JSPStudy/ch06/sessionInfo_all.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [07/Apr/2023:14:47:57 +0900] "GET /JSPStudy/self/userlist.jsp HTTP/1.1" 500 3248
0:0:0:0:0:0:0:1 - - [07/Apr/2023:14:58:44 +0900] "GET /JSPStudy/ch06/sessionInterval.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:04:48 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:04:55 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:04:55 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:04:56 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:04:56 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:04:56 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:05:19 +0900] "GET /JSPStudy/ch06/sessionCreate.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:05:27 +0900] "POST /JSPStudy/ch06/sessionCreate_success.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:05:30 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:05:31 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:05:31 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:05:32 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:05:32 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:05:39 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:05:44 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:05:44 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:05:45 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:05:45 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:05:45 +0900] "GET /JSPStudy/ch06/sessionKeping.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:13:38 +0900] "GET /JSPStudy/ch06/sessionRemove_all.jsp HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:15:44 +0900] "GET /JSPStudy/ch06/sessionRemove.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:18:12 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:18:12 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:18:13 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:18:30 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:18:30 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:18:30 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:18:30 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:18:30 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:18:30 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [07/Apr/2023:15:18:31 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 3148
